Date,Open,High,Low,Close,Adj Close,Volume
5/4/2007,7.5025,7.5625,7.455,7.5025,6.746708,3722400
5/7/2007,7.605,7.68,7.425,7.45,6.699497,3110000
5/8/2007,7.4025,7.4675,7.29,7.38,6.636549,3702400
5/9/2007,7.35,7.52,7.325,7.4125,6.665775,3433200
5/10/2007,7.415,7.475,7.265,7.28,6.546623,4280800
5/11/2007,7.3325,7.375,7.2475,7.32,6.582592,1971600
5/14/2007,7.325,7.3575,7.1825,7.23,6.501661,1876400
5/15/2007,7.2325,7.3475,7.12,7.1325,6.413982,2247600
5/16/2007,7.135,7.2825,7.0725,7.1575,6.436462,5670800
5/17/2007,7.1325,7.2025,7.09,7.1475,6.427471,3151200
5/18/2007,7.1475,7.1925,7.0675,7.125,6.407237,3489600
5/21/2007,7.125,7.1625,7.03,7.06,6.348786,2522800
5/22/2007,7.0925,7.345,7.07,7.3,6.564609,3945600
5/23/2007,7.2325,7.2875,6.8375,6.885,6.191413,6389600
5/24/2007,6.8825,6.9275,6.79,6.88,6.186918,3822800
5/25/2007,6.905,6.9575,6.84,6.9325,6.23413,2185600
5/29/2007,7.05,7.11,7.005,7.0875,6.373515,3464400
5/30/2007,7.075,7.2675,7.0025,7.2675,6.535382,3999600
5/31/2007,7.2875,7.3675,7.225,7.29,6.555615,2620400
6/1/2007,7.315,7.325,7.125,7.185,6.461193,3103200
6/4/2007,7.15,7.1525,7.0025,7.035,6.326304,2700800
6/5/2007,7.035,7.075,6.94,6.9925,6.288085,2529600
6/6/2007,6.9225,6.9225,6.815,6.8525,6.162189,2542000
6/7/2007,6.8525,6.8525,6.675,6.68,6.007066,2511600
6/8/2007,6.725,6.905,6.675,6.8225,6.135211,2956400
6/11/2007,6.8175,6.8175,6.7,6.755,6.074511,1707200
6/12/2007,6.725,6.7925,6.58,6.615,5.948613,2325200
6/13/2007,6.695,6.695,6.475,6.6275,5.959854,4014800
6/14/2007,6.6975,6.86,6.6275,6.85,6.15994,3210000
6/15/2007,6.98,6.98,6.7175,6.7425,6.06327,3896400
6/18/2007,6.8125,6.83,6.7225,6.75,6.070014,2563200
6/19/2007,6.75,6.98,6.75,6.9625,6.261106,3544400
6/20/2007,6.99,7.12,6.965,7.0475,6.337544,3008400
6/21/2007,7.02,7.0875,6.915,7.085,6.371267,1977600
6/22/2007,7.085,7.095,6.925,6.98,6.276845,2690000
6/25/2007,7.0025,7.025,6.8225,6.875,6.182422,3064000
6/26/2007,6.885,6.9125,6.72,6.73,6.052029,2346800
6/27/2007,6.665,6.7475,6.5775,6.74,6.061021,2414800
6/28/2007,6.9625,7.1625,6.935,7.1025,6.387004,4257200
6/29/2007,7.115,7.12,6.9275,6.965,6.263356,2610000
7/2/2007,7,7.1275,6.9525,7.1175,6.400493,1876800
7/3/2007,7.15,7.2225,7.11,7.1775,6.454448,2192400
7/5/2007,7.165,7.1775,7.0375,7.1225,6.404989,2592000
7/6/2007,7.105,7.2725,7.05,7.27,6.53763,1788800
7/9/2007,7.215,7.27,7.07,7.1075,6.391501,3148000
7/10/2007,7.075,7.0925,6.8525,6.87,6.177926,2229600
7/11/2007,6.85,6.8725,6.765,6.83,6.141955,2339200
7/12/2007,6.8675,6.9275,6.815,6.925,6.227384,1992000
7/13/2007,6.9,6.9075,6.815,6.85,6.15994,1584800
7/16/2007,6.785,7,6.7725,6.97,6.267851,2228000
7/17/2007,7.0225,7.155,6.97,7.0875,6.373515,2278400
7/18/2007,7.0275,7.16,6.995,7.09,6.375762,2317200
7/19/2007,7.215,7.25,7.08,7.0975,6.382506,2048800
7/20/2007,7.0975,7.1325,6.8275,6.9325,6.23413,3014800
7/23/2007,6.94,7.005,6.84,6.9475,6.247617,2015600
7/24/2007,6.815,6.9425,6.73,6.765,6.083502,2855200
7/25/2007,6.8425,6.895,6.6225,6.7725,6.090247,2576800
7/26/2007,6.525,6.5725,5.86,6.0775,5.465261,7218400
7/27/2007,6.29,6.3625,6.0225,6.125,5.507976,5824400
7/30/2007,6.1275,6.245,5.98,6.11,5.494487,3910400
7/31/2007,6.1475,6.23,5.815,5.8325,5.244942,3779200
8/1/2007,5.8675,5.9075,5.6825,5.8625,5.271919,5594800
8/2/2007,5.9375,6.0225,5.805,5.9375,5.339364,3668400
8/3/2007,5.95,5.9775,5.7675,5.7875,5.204474,4700800
8/6/2007,5.83,5.85,5.5075,5.7,5.125788,4822400
8/7/2007,5.6425,5.6625,5.455,5.545,4.986404,4891200
8/8/2007,5.6375,6.0975,5.625,6.055,5.445027,6376400
8/9/2007,6.04,6.365,5.99,6.255,5.624879,5726800
8/10/2007,6.15,6.3825,5.8825,6.265,5.633872,4058400
8/13/2007,6.385,6.555,6.0175,6.155,5.534953,3484400
8/14/2007,6.155,6.1875,5.96,5.98,5.377582,2472400
8/15/2007,5.995,6.0625,5.5325,5.56,4.999892,3873600
8/16/2007,5.625,5.8925,5.375,5.8725,5.280912,5324400
8/17/2007,6.115,6.165,5.8075,5.985,5.382079,3628400
8/20/2007,6.0025,6.0625,5.7525,5.85,5.26068,2009600
